Fecha,Estacion,PM10,Latitud,Longitud
2022-12-31,Avenida Francia,23.0,39.45952569339903,-0.348132633780787
2022-12-30,Avenida Francia,27.0,39.45952569339903,-0.348132633780787
2022-12-29,Avenida Francia,26.0,39.45952569339903,-0.348132633780787
2022-12-28,Avenida Francia,36.0,39.45952569339903,-0.348132633780787
2022-12-27,Avenida Francia,34.0,39.45952569339903,-0.348132633780787
2022-12-26,Avenida Francia,52.0,39.45952569339903,-0.348132633780787
2022-12-25,Avenida Francia,14.0,39.45952569339903,-0.348132633780787
2022-12-24,Avenida Francia,14.0,39.45952569339903,-0.348132633780787
2022-12-23,Avenida Francia,9.0,39.45952569339903,-0.348132633780787
2022-12-22,Avenida Francia,13.0,39.45952569339903,-0.348132633780787
2022-12-21,Avenida Francia,14.0,39.45952569339903,-0.348132633780787
2022-12-20,Avenida Francia,32.0,39.45952569339903,-0.348132633780787
2022-12-19,Avenida Francia,18.0,39.45952569339903,-0.348132633780787
2022-12-18,Avenida Francia,14.0,39.45952569339903,-0.348132633780787
2022-12-17,Avenida Francia,15.0,39.45952569339903,-0.348132633780787
2022-12-16,Avenida Francia,10.0,39.45952569339903,-0.348132633780787
2022-12-15,Avenida Francia,7.0,39.45952569339903,-0.348132633780787
2022-12-14,Avenida Francia,9.0,39.45952569339903,-0.348132633780787
2022-12-13,Avenida Francia,6.0,39.45952569339903,-0.348132633780787
2022-12-12,Avenida Francia,16.0,39.45952569339903,-0.348132633780787
2022-12-11,Avenida Francia,7.0,39.45952569339903,-0.348132633780787
2022-12-10,Avenida Francia,5.0,39.45952569339903,-0.348132633780787
2022-12-09,Avenida Francia,10.0,39.45952569339903,-0.348132633780787
2022-12-08,Avenida Francia,36.0,39.45952569339903,-0.348132633780787
2022-12-07,Avenida Francia,31.0,39.45952569339903,-0.348132633780787
2022-12-06,Avenida Francia,26.0,39.45952569339903,-0.348132633780787
2022-12-05,Avenida Francia,21.0,39.45952569339903,-0.348132633780787
2022-12-04,Avenida Francia,15.0,39.45952569339903,-0.348132633780787
2022-12-03,Avenida Francia,15.0,39.45952569339903,-0.348132633780787
2022-12-02,Avenida Francia,18.0,39.45952569339903,-0.348132633780787
2022-12-31,Bulevard Sud,21.071860795947398,39.4456696664508,-0.3698880681584703
2022-12-30,Bulevard Sud,21.071860795947398,39.4456696664508,-0.3698880681584703
2022-12-29,Bulevard Sud,19.0,39.4456696664508,-0.3698880681584703
2022-12-28,Bulevard Sud,32.0,39.4456696664508,-0.3698880681584703
2022-12-27,Bulevard Sud,29.0,39.4456696664508,-0.3698880681584703
2022-12-26,Bulevard Sud,21.071860795947398,39.4456696664508,-0.3698880681584703
2022-12-25,Bulevard Sud,11.0,39.4456696664508,-0.3698880681584703
2022-12-24,Bulevard Sud,21.071860795947398,39.4456696664508,-0.3698880681584703
2022-12-23,Bulevard Sud,21.071860795947398,39.4456696664508,-0.3698880681584703
2022-12-22,Bulevard Sud,21.071860795947398,39.4456696664508,-0.3698880681584703
2022-12-21,Bulevard Sud,10.0,39.4456696664508,-0.3698880681584703
2022-12-20,Bulevard Sud,21.071860795947398,39.4456696664508,-0.3698880681584703
2022-12-19,Bulevard Sud,24.0,39.4456696664508,-0.3698880681584703
2022-12-18,Bulevard Sud,21.071860795947398,39.4456696664508,-0.3698880681584703
2022-12-17,Bulevard Sud,21.0,39.4456696664508,-0.3698880681584703
2022-12-16,Bulevard Sud,21.071860795947398,39.4456696664508,-0.3698880681584703
2022-12-15,Bulevard Sud,19.0,39.4456696664508,-0.3698880681584703
2022-12-14,Bulevard Sud,21.071860795947398,39.4456696664508,-0.3698880681584703
2022-12-13,Bulevard Sud,13.0,39.4456696664508,-0.3698880681584703
2022-12-12,Bulevard Sud,21.071860795947398,39.4456696664508,-0.3698880681584703
2022-12-11,Bulevard Sud,15.0,39.4456696664508,-0.3698880681584703
2022-12-10,Bulevard Sud,21.071860795947398,39.4456696664508,-0.3698880681584703
2022-12-09,Bulevard Sud,14.0,39.4456696664508,-0.3698880681584703
2022-12-08,Bulevard Sud,21.071860795947398,39.4456696664508,-0.3698880681584703
2022-12-07,Bulevard Sud,28.0,39.4456696664508,-0.3698880681584703
2022-12-06,Bulevard Sud,21.071860795947398,39.4456696664508,-0.3698880681584703
2022-12-05,Bulevard Sud,23.0,39.4456696664508,-0.3698880681584703
2022-12-04,Bulevard Sud,21.0,39.4456696664508,-0.3698880681584703
2022-12-03,Bulevard Sud,20.0,39.4456696664508,-0.3698880681584703
2022-12-02,Bulevard Sud,19.0,39.4456696664508,-0.3698880681584703
2022-12-31,Conselleria Meteo,24.0,39.483155093277645,-0.4065135440902669
2022-12-30,Conselleria Meteo,10.0,39.483155093277645,-0.4065135440902669
2022-12-29,Conselleria Meteo,13.0,39.483155093277645,-0.4065135440902669
2022-12-28,Conselleria Meteo,33.0,39.483155093277645,-0.4065135440902669
2022-12-27,Conselleria Meteo,20.0,39.483155093277645,-0.4065135440902669
2022-12-26,Conselleria Meteo,23.0,39.483155093277645,-0.4065135440902669
2022-12-25,Conselleria Meteo,16.0,39.483155093277645,-0.4065135440902669
2022-12-24,Conselleria Meteo,24.0,39.483155093277645,-0.4065135440902669
2022-12-23,Conselleria Meteo,6.0,39.483155093277645,-0.4065135440902669
2022-12-22,Conselleria Meteo,9.0,39.483155093277645,-0.4065135440902669
2022-12-21,Conselleria Meteo,5.0,39.483155093277645,-0.4065135440902669
2022-12-20,Conselleria Meteo,18.0,39.483155093277645,-0.4065135440902669
